City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Shangqiu,CN,34.45,115.65,52.41,41,29,2.68,'scattered clouds'
116,Batemans Bay,AU,-35.72,150.18,66.0,82,15,1.99,'few clouds'
117,Volchikha,RU,52.03,80.38,31.98,96,80,7.63,'broken clouds'
118,Jamestown,US,42.1,-79.24,35.01,86,90,14.99,"'light rain', 'light snow'"
119,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,80,6,6.71,'clear sky'
120,Namibe,AO,-15.2,12.15,74.08,70,59,7.29,'broken clouds'
121,Wuwei,CN,37.93,102.64,36.68,67,44,1.28,'scattered clouds'
122,Yuanping,CN,38.72,112.76,35.29,71,0,4.27,'clear sky'
123,Fuyang,CN,32.9,115.82,54.93,39,10,6.11,'clear sky'
124,Tasiilaq,GL,65.61,-37.64,26.6,86,84,9.17,'broken clouds'
125,Kharp,RU,66.8,65.81,25.36,96,78,8.52,'broken clouds'
126,Tarauaca,BR,-8.16,-70.77,82.58,60,100,1.95,'overcast clouds'
127,Belyy Yar,RU,53.6,91.39,23.0,100,53,2.24,"'mist', 'smoke'"
128,Butaritari,KI,3.07,172.79,82.06,78,0,10.22,'clear sky'
129,Provideniya,RU,64.38,-173.3,19.4,67,0,4.47,'clear sky'
130,Huarmey,PE,-10.07,-78.15,66.24,71,100,9.08,'overcast clouds'
131,Chuy,UY,-33.7,-53.46,55.72,75,0,6.11,'clear sky'
132,Puerto Ayora,EC,-0.74,-90.35,77.0,73,40,20.8,'scattered clouds'
133,Mahajanga,MG,-15.72,46.32,75.2,73,20,2.24,'few clouds'
134,Marrakesh,MA,31.63,-8.01,69.8,37,0,3.36,'clear sky'
135,Iberia,US,29.95,-91.75,73.4,46,1,20.8,'clear sky'
136,Dinguiraye,GN,11.3,-10.72,74.7,45,0,1.68,'clear sky'
137,Panacan,PH,9.25,118.41,80.29,78,100,6.91,'light rain'
138,Pacifica,US,37.61,-122.49,75.99,60,75,5.84,'broken clouds'
139,Vanavara,RU,60.34,102.28,14.99,94,100,10.83,'overcast clouds'
140,Krasnovka,RU,48.82,40.09,54.95,80,97,15.95,'light rain'
141,Tual,ID,-5.67,132.75,83.62,70,100,14.85,'overcast clouds'
142,Jijiga,ET,9.35,42.8,60.67,43,1,8.72,'clear sky'
143,Rio Grande,BR,-32.03,-52.1,61.0,79,0,1.99,'clear sky'
144,Marawi,PH,8.0,124.29,75.0,89,100,3.0,'light rain'
145,Sitka,US,57.05,-135.33,46.4,93,90,8.08,"'moderate rain', 'mist'"
146,Vao,NC,-22.67,167.48,74.48,84,100,17.87,'overcast clouds'
147,Te Anau,NZ,-45.42,167.72,52.86,57,97,1.01,'overcast clouds'
